measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,9,20-24 years,411,Esophageal cancer,2,Percent,1999,0.0006753851545864214,0.0008213620391441381,0.00045353512696354994
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,9,20-24 years,411,Esophageal cancer,2,Percent,1999,0.0007585398765604747,0.0009866796712190533,0.0004190316190685319
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,9,20-24 years,411,Esophageal cancer,3,Rate,1999,8.577570069215245,10.098103764908373,5.735934983617315
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,9,20-24 years,411,Esophageal cancer,3,Rate,1999,9.491772548297174,11.852583794698905,5.157631937265475
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,10,25-29 years,411,Esophageal cancer,2,Percent,1999,0.0009679797896264875,0.0011957206953943044,0.0006298406065183714
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,10,25-29 years,411,Esophageal cancer,2,Percent,1999,0.0010217629408526253,0.0013274807587062693,0.0005547161174109719
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,10,25-29 years,411,Esophageal cancer,3,Rate,1999,12.851983529425457,15.211720866929829,8.27960585831158
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,10,25-29 years,411,Esophageal cancer,3,Rate,1999,15.575177533935454,19.730819987046576,8.365128888063824
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,11,30-34 years,411,Esophageal cancer,2,Percent,1999,0.0028204035071721016,0.00339907867874998,0.0018526940577002085
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,11,30-34 years,411,Esophageal cancer,2,Percent,1999,0.0015819648494349175,0.0020277147636418025,0.0008189028692410842
2,DALYs (Disability-Adjusted Life Years),6,China,1,Male,11,30-34 years,411,Esophageal cancer,3,Rate,1999,45.14669211098455,52.474876093590964,29.812976790258944
