measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,9,20-24 years,411,Esophageal cancer,2,Percent,2019,0.0004303463960297431,0.00048725176441635217,0.00038384937665143933
1,Deaths,1,Global,2,Female,9,20-24 years,411,Esophageal cancer,2,Percent,2019,0.0006736753883054016,0.0008106244368191261,0.0005565961272919304
1,Deaths,1,Global,1,Male,9,20-24 years,411,Esophageal cancer,3,Rate,2019,0.06182584270922586,0.07078050777568518,0.05400802861787174
1,Deaths,1,Global,2,Female,9,20-24 years,411,Esophageal cancer,3,Rate,2019,0.058099917583014755,0.0717089027223296,0.04753866831661264
1,Deaths,1,Global,1,Male,10,25-29 years,411,Esophageal cancer,2,Percent,2019,0.0007163028141874073,0.0008151999093816487,0.0006267502570509072
1,Deaths,1,Global,2,Female,10,25-29 years,411,Esophageal cancer,2,Percent,2019,0.0010893307691982157,0.0012963294316600882,0.000902264502234125
1,Deaths,1,Global,1,Male,10,25-29 years,411,Esophageal cancer,3,Rate,2019,0.11653751973900879,0.1338635736081202,0.10132267779456117
1,Deaths,1,Global,2,Female,10,25-29 years,411,Esophageal cancer,3,Rate,2019,0.10649656196192087,0.1291375976842405,0.08718339490062696
1,Deaths,1,Global,1,Male,11,30-34 years,411,Esophageal cancer,2,Percent,2019,0.0017122132597950364,0.0019452458074311588,0.0015119248317726575
1,Deaths,1,Global,2,Female,11,30-34 years,411,Esophageal cancer,2,Percent,2019,0.001535336466768654,0.0017777387815985368,0.0013271192187743227
1,Deaths,1,Global,1,Male,11,30-34 years,411,Esophageal cancer,3,Rate,2019,0.3494597061389247,0.4028205059041346,0.3051700506916247
1,Deaths,1,Global,2,Female,11,30-34 years,411,Esophageal cancer,3,Rate,2019,0.1832609755360987,0.21429666855161325,0.15600039919297268
1,Deaths,1,Global,1,Male,12,35-39 years,411,Esophageal cancer,2,Percent,2019,0.00343743950591635,0.003953982392382831,0.0030771852044578396
1,Deaths,1,Global,2,Female,12,35-39 years,411,Esophageal cancer,2,Percent,2019,0.002381246599863656,0.0026782155940184094,0.0020847204891485042
