measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1990,0.008555556873968874,0.009441766050168178,0.006718991024329328
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1990,0.004858787066203606,0.005374716756881125,0.0034972918040487577
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1990,7.959269642733349,8.916504191539325,6.208153384475445
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,3.9504878539837063,4.419900580772221,2.8653932612394066
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,2,Percent,1990,0.019209085116280337,0.020313743751221403,0.018080111787220906
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,2,Percent,1990,0.014218296561905526,0.015014420467279002,0.013336637646400997
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,3,Rate,1990,17.867336267560166,19.32665276305848,16.442532612617914
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,11.558897947104446,12.385829161550241,10.702503197880255
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1990,0.015609319047206627,0.01595848403060998,0.015170165733329551
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1990,0.004065577760546256,0.004239893183076708,0.003730410917556616
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1990,11.088477736154925,11.34016709271408,10.773876185013545
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,2.3612236460712492,2.4649417544936023,2.1674864296804452
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1990,0.07600909360043817,0.07734187033910256,0.07358670752955186
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1990,0.05355665474722357,0.05540045884362048,0.04989794554609279
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,3,Rate,1990,53.994973576507306,54.9479975905928,52.204090635818034
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,31.10489265952495,32.20400817503198,28.988147739665518
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1991,0.014089559306128334,0.01606252779837519,0.011891690206053202
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1991,0.009233970481076574,0.010682061318858748,0.007895446403118924
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1991,11.869867422153591,14.097436742963266,9.870312338695653
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,6.819260202200629,8.228410363028305,5.62079846994718
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,2,Percent,1991,0.017281294865568612,0.019529120939491974,0.01513231519505187
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,2,Percent,1991,0.010765707301373394,0.011956478093616434,0.009601638387040298
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,14.5636783811807,17.227131817908763,12.164934492425095
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,7.9527879073586245,9.362706041760818,6.635079896651152
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1991,0.008674249092380275,0.009545921523360215,0.006835684165060585
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1991,0.004907948125173657,0.005434478999602987,0.003524192038113309
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1991,8.03771435871509,9.004534155838137,6.354187071806464
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,3.970826304766893,4.450578820306718,2.8520198745141436
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,2,Percent,1991,0.019092148796649135,0.020167551319967284,0.017992276543721472
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,2,Percent,1991,0.014073473763064198,0.014989869934156417,0.01320688707679255
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,17.689419121603382,19.05305801467452,16.343701885760428
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,11.385353922361984,12.266745029977335,10.567746121823498
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,2,Percent,1991,0.012004171567659556,0.012538217802907559,0.011493133470654547
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,2,Percent,1991,0.0023594452230586422,0.0025247550422430078,0.002194103813861034
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,3,Rate,1991,7.239040258300585,7.5701228277993975,6.9153516779104365
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,0.9558948652231404,1.0244962878253443,0.8870999239863565
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,2,Percent,1991,0.02987133817619417,0.030995075282033605,0.028696694292285472
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,2,Percent,1991,0.02011725149534459,0.02096353281579451,0.019194261872514305
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,18.01364502791521,18.71258833684114,17.25839918652287
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,8.150155062570885,8.523486934753436,7.755355796810486
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1993,0.01627820591827109,0.016560410785210717,0.015831329042260207
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1993,0.003993255352886411,0.004185491055247189,0.0036114059312525866
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1993,12.308041719626226,12.536212690726785,11.970337600391725
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1993,2.460407270406855,2.57873304357807,2.226149330048778
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1993,0.072861918028182,0.0742451050569341,0.07039732255660609
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1993,0.05025933925830643,0.0522589439349762,0.045903014415089184
